geneid,control_1,control_2,control_3,treated_1,treated_2,treated_3
1,9,8,13,12,10,6
10,14,15,16,15,16,20
100,213,242,328,381,375,253
1000,136,194,154,539,552,543
10000,316,38,25,35,134,34
100008587,0,0,0,0,0,0
100008588,0,0,0,0,0,0
100008589,0,0,0,0,0,0
100009601,0,0,0,0,0,0
100009602,0,0,0,0,0,0
100009605,0,0,0,0,0,0
100009606,0,1,0,0,0,0
100009607,0,0,0,0,0,0
100009613,3,3,2,0,0,3
100009676,74,82,76,74,56,86
10001,708,717,707,783,891,785
10002,12,23,25,8,6,17
10003,33,44,60,14,14,4
100033411,0,3,2,0,0,2
100033413,0,0,0,0,0,0
100033414,0,0,0,0,0,0
100033415,0,0,0,0,0,0
100033416,0,0,0,0,0,0
100033417,0,0,0,0,0,0
100033418,0,0,0,0,0,0
100033419,0,0,0,0,0,0
100033420,0,0,0,0,0,0
100033421,0,0,0,0,0,0
100033422,0,0,0,0,0,0
100033423,0,0,0,0,0,0
100033424,0,0,0,0,0,0
100033425,0,0,0,0,0,0
100033426,0,0,0,0,0,0
100033427,0,0,0,0,0,0
100033428,0,0,0,0,0,0
100033429,0,0,0,0,0,0
100033430,0,0,0,0,0,0
100033431,0,0,0,0,0,0
100033432,0,0,0,0,0,0
100033433,0,0,0,0,0,0
100033434,0,0,0,0,0,0
100033435,0,0,0,0,0,0
100033436,0,0,0,0,0,0
100033437,0,0,0,0,0,0
100033438,0,0,0,0,0,0
100033439,0,0,0,0,0,0
100033440,0,0,0,0,0,0
100033441,0,0,0,0,0,0
100033442,0,0,0,0,0,0
100033443,0,0,0,0,0,0
100033444,0,0,0,0,0,0
100033445,0,0,0,0,0,0
100033446,0,0,0,0,0,0
100033447,0,0,0,0,0,0
100033448,0,0,0,0,0,0
100033449,0,0,0,0,0,0
100033450,0,0,0,0,0,0
100033451,0,0,0,0,0,0
100033453,0,0,0,0,0,0
100033454,0,0,0,0,0,0
100033455,0,0,0,0,0,0
100033456,0,0,0,0,0,0
100033458,0,0,0,0,0,0
100033460,0,0,0,0,0,0
100033603,0,0,0,0,0,0
100033799,0,0,0,0,0,0
100033800,0,0,0,0,0,0
100033801,0,0,0,0,0,0
100033802,0,0,0,0,0,0
100033803,0,0,0,0,0,0
100033804,0,0,0,0,0,0
100033805,0,0,0,0,0,0
100033806,0,0,0,0,0,0
100033807,0,0,0,0,0,0
100033808,0,0,0,0,0,0
100033809,0,0,0,0,0,0
100033810,0,0,0,0,0,0
100033811,0,0,0,0,0,0
100033812,0,0,0,0,0,0
100033813,0,0,0,0,0,0
100033814,0,0,0,0,0,0
100033815,0,0,0,0,0,0
100033816,0,0,0,0,0,0
100033817,0,0,0,0,0,0
100033818,0,0,0,0,0,0
100033819,0,0,0,0,0,0
100033820,0,0,0,0,0,0
100033821,0,0,0,0,0,0
100033822,0,0,0,0,0,0
100034743,8,8,16,3,0,1
100036563,0,0,0,0,0,0
100036564,0,0,0,0,0,0
100036565,0,0,0,0,0,0
100036566,0,0,0,0,0,0
100036567,0,0,1,0,0,0
100037417,0,0,0,0,0,0
100038246,1,1,2,0,0,0
10004,1,0,0,0,0,2
100048912,103,81,77,62,51,47
100049076,39,20,52,3,10,33
100049587,0,0,0,0,0,0
100049613,0,0,0,2,2,2
100049614,0,0,0,0,0,0
100049716,195,196,193,157,166,181
10005,547,504,563,560,845,611
10006,910,860,1043,1121,961,1122
10007,1073,1118,1136,1372,1428,1416
100073347,0,0,0,0,0,0
10008,4,7,2,0,1,1
10009,1780,1833,1883,1200,997,1085
100093630,993,936,907,1214,1704,1133
100093631,968,1078,1231,603,505,559
100093698,0,0,0,0,0,0
1001,2225,2416,2875,5637,5431,4874
10010,654,730,699,511,538,432
100101115,0,0,0,0,0,0
100101116,0,0,0,0,0,0
100101117,0,0,0,0,0,0
100101118,0,0,0,0,0,0
100101120,0,0,0,0,0,0
100101121,0,0,0,0,0,0
100101148,25,28,29,21,18,30
100101266,1,0,0,0,0,0
100101267,1493,1682,1883,2190,1450,2174
100101440,7,24,5,27,27,18
100101467,454,424,491,263,151,280
100101478,0,0,0,0,0,0
100101490,78,81,94,434,283,388
100101938,0,0,0,0,0,0
10011,447,493,552,995,1230,948
100113378,1,0,1,0,1,1
100113379,4,2,3,2,0,0
100113380,0,0,0,0,0,0
100113381,46,68,58,6,1,8
100113382,0,0,0,0,0,0
100113384,2,3,1,0,0,0
100113386,65,47,49,11,18,40
100113389,2,3,3,1,0,1
100113391,0,1,1,0,0,0
100113392,1,2,0,0,0,0
100113393,12,8,14,7,1,5
100113402,2,0,1,0,0,0
100113403,0,0,0,0,0,0
100113404,0,0,0,0,0,0
100113407,281,260,232,186,126,135
100124412,0,0,0,0,0,0
100124516,13,23,25,5,3,8
100124533,20,12,16,3,0,0
100124534,0,0,0,0,0,0
100124535,0,0,0,0,0,0
100124536,0,1,0,0,0,0
100124537,0,1,0,0,0,0
100124538,0,0,0,0,0,0
100124539,0,0,1,0,0,0
100124540,0,0,0,0,0,0
100124541,0,0,0,0,0,0
100124700,310,302,373,43,41,45
100125288,39,44,37,33,43,54
100125556,68,56,92,111,95,94
