ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
57650,ENSG00000163507,CIP2A,cellular inhibitor of PP2A,-2.22037311,6.110325823,-96.01368058,1.75E-09,4.98E-05,12.17081837
7474,ENSG00000114251,WNT5A,Wnt family member 5A,-9.121315533,-0.65668241,-67.76135619,1.03E-08,0.000146148,5.865799665
9993,ENSG00000070413,DGCR2,DiGeorge syndrome critical region gene 2,2.162754732,6.900307153,62.35251783,1.72E-08,0.000150536,10.66100482
55762,ENSG00000167562,ZNF701,zinc finger protein 701,-2.349569884,3.344891588,-58.77328191,2.12E-08,0.000150536,9.79130878
23350,ENSG00000163714,U2SURP,U2 snRNP associated SURP domain containing,-1.235057287,6.920543477,-52.03354036,3.94E-08,0.000210579,9.961028805
29801,ENSG00000099904,ZDHHC8,zinc finger DHHC-type palmitoyltransferase 8,1.682065034,5.822395839,50.36252641,4.64E-08,0.000210579,9.776463556
406984,ENSG00000207730,MIR200B,microRNA 200b,-5.388090649,-2.521943924,-49.18871102,5.24E-08,0.000210579,5.308511908
10409,ENSG00000176788,BASP1,brain abundant membrane attached signal protein 1,1.675465787,5.91800606,46.87135833,7.00E-08,0.000210579,9.404520678
6648,ENSG00000291237,SOD2,superoxide dismutase 2,1.892282439,8.248937171,49.28266456,7.39E-08,0.000210579,9.385349036
58191,ENSG00000161921,CXCL16,C-X-C motif chemokine ligand 16,1.06678432,6.485180351,45.92681346,7.42E-08,0.000210579,9.363372638
149775,ENSG00000235590,GNAS-AS1,GNAS antisense RNA 1,-5.475118561,-2.47864849,-45.06637685,8.16E-08,0.000210715,5.266517397
3491,ENSG00000142871,CCN1,cellular communication network factor 1,2.620510197,6.179212544,49.35863622,9.39E-08,0.000222122,9.126430884
55022,ENSG00000153823,PID1,phosphotyrosine interaction domain containing 1,1.806945075,2.705449589,40.71689287,1.37E-07,0.000298346,8.38300783
216,ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1,-7.786075596,-1.324672822,-41.18101872,1.57E-07,0.000308265,5.328106335
9814,ENSG00000198089,SFI1,SFI1 centrin binding protein,-1.719216567,3.278456581,-39.32134681,1.63E-07,0.000308265,8.411558047
96610,NA,BMS1P20,BMS1 pseudogene 20,1.825957996,5.734255402,41.17138617,1.89E-07,0.000308265,8.466366072
4478,ENSG00000147065,MSN,moesin,3.41139871,9.980572942,42.63483069,1.91E-07,0.000308265,8.471727351
8682,ENSG00000162734,PEA15,proliferation and apoptosis adaptor protein 15,1.625910264,7.132791209,39.99777592,2.17E-07,0.000308265,8.32933934
3675,ENSG00000005884,ITGA3,integrin subunit alpha 3,1.344777414,9.839315894,38.50485404,2.20E-07,0.000308265,8.293880004
3383,ENSG00000090339,ICAM1,intercellular adhesion molecule 1,2.095979058,7.551937453,41.06716405,2.29E-07,0.000308265,8.29000203
246,ENSG00000161905,ALOX15,arachidonate 15-lipoxygenase,1.038260362,5.263973061,36.7288497,2.30E-07,0.000308265,8.244726737
11167,ENSG00000163430,FSTL1,follistatin like 1,2.269885438,5.913952891,40.68353901,2.40E-07,0.000308265,8.241485677
55370,NA,PPP4R1L,protein phosphatase 4 regulatory subunit 1 like (pseudogene),-1.35677078,3.391793629,-35.72152867,2.65E-07,0.000308265,8.029743638
598,ENSG00000171552,BCL2L1,BCL2 like 1,2.792896856,8.395985783,38.5572571,3.11E-07,0.000308265,7.977331285
58506,ENSG00000126461,SCAF1,SR-related CTD associated factor 1,1.221584782,7.4095328,35.27000199,3.21E-07,0.000308265,7.900081516
81553,ENSG00000197872,CYRIA,CYFIP related Rac1 interactor A,-6.284590508,-2.071367226,-34.71807336,3.23E-07,0.000308265,5.111112928
55749,ENSG00000060339,CCAR1,cell division cycle and apoptosis regulator 1,-1.953921814,6.226990615,-38.22289953,3.24E-07,0.000308265,7.941961651
84448,ENSG00000163995,ABLIM2,actin binding LIM protein family member 2,2.168974043,1.087525197,34.26114976,3.28E-07,0.000308265,7.013218769
9928,ENSG00000118193,KIF14,kinesin family member 14,-2.077934316,4.412024834,-37.02819202,3.42E-07,0.000308265,7.859844639
7576,ENSG00000198538,ZNF28,zinc finger protein 28,-2.207799931,4.525280403,-37.4450459,3.52E-07,0.000308265,7.83775709
3832,ENSG00000138160,KIF11,kinesin family member 11,-1.461588416,4.989550053,-34.80925237,3.55E-07,0.000308265,7.824387514
10914,ENSG00000090060,PAPOLA,poly(A) polymerase alpha,-0.986006497,6.901730933,-33.65706136,3.59E-07,0.000308265,7.770250601
2152,ENSG00000117525,F3,"coagulation factor III, tissue factor",0.842679118,7.745654388,33.52369251,3.66E-07,0.000308265,7.740998764
613,ENSG00000186716,BCR,BCR activator of RhoGEF and GTPase,2.220812026,7.967639422,37.16402947,3.72E-07,0.000308265,7.79359442
7052,ENSG00000198959,TGM2,transglutaminase 2,2.300697718,7.515195035,36.78332046,3.91E-07,0.000308265,7.7445069
100124700,ENSG00000228630,HOTAIR,HOX transcript antisense RNA,-2.902197143,2.675227024,-35.32381737,3.91E-07,0.000308265,7.417610346
80380,ENSG00000197646,PDCD1LG2,programmed cell death 1 ligand 2,2.993773678,1.756609566,32.97568687,4.41E-07,0.000338757,7.014951178
55603,ENSG00000112773,TENT5A,terminal nucleotidyltransferase 5A,-1.58413926,2.84199331,-32.10675363,4.55E-07,0.000340182,7.468357521
57489,ENSG00000122417,ODF2L,outer dense fiber of sperm tails 2 like,-1.76003944,4.986881327,-34.43584732,4.94E-07,0.000359398,7.516509236
259266,ENSG00000066279,ASPM,assembly factor for spindle microtubules,-2.341776158,5.456060152,-34.78452612,5.12E-07,0.000363596,7.484915474
164284,ENSG00000198768,APCDD1L,APC down-regulated 1 like,2.452362424,3.727656775,34.58639897,5.27E-07,0.00036468,7.404326786
56944,ENSG00000116774,OLFML3,olfactomedin like 3,2.368813731,7.416682943,34.04904242,5.68E-07,0.000370552,7.353311222
2132,ENSG00000151348,EXT2,exostosin glycosyltransferase 2,0.846782271,7.606931306,30.60709264,5.80E-07,0.000370552,7.246960775
558,ENSG00000167601,AXL,AXL receptor tyrosine kinase,2.012037004,6.766420329,33.88093787,5.82E-07,0.000370552,7.33414461
128989,ENSG00000183597,TANGO2,transport and golgi organization 2 homolog,1.59159086,5.305369589,33.06758709,5.89E-07,0.000370552,7.329657727
81857,ENSG00000104973,MED25,mediator complex subunit 25,0.658195202,6.338814361,30.39952142,6.00E-07,0.000370552,7.229099004
57698,ENSG00000187164,SHTN1,shootin 1,-1.379320247,5.890007476,-32.11363496,6.31E-07,0.000375341,7.23647417
284021,ENSG00000271605,MILR1,mast cell immunoglobulin like receptor 1,-1.780463356,4.304935046,-32.26967423,6.53E-07,0.000375341,7.234235017
5054,ENSG00000106366,SERPINE1,serpin family E member 1,1.973506603,7.451514567,32.99963579,6.61E-07,0.000375341,7.19019988
92154,ENSG00000132613,MTSS2,MTSS I-BAR domain containing 2,1.024246353,6.241414082,29.9153253,6.64E-07,0.000375341,7.12723087
79675,ENSG00000138399,FASTKD1,FAST kinase domains 1,-1.221695758,3.779048334,-29.56546414,6.91E-07,0.000375341,7.147872777
23384,ENSG00000100014,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,2.289262398,6.249484753,32.65917341,6.95E-07,0.000375341,7.156246057
23331,ENSG00000100154,TTC28,tetratricopeptide repeat domain 28,-7.88601147,-1.271273212,-32.5828628,7.03E-07,0.000375341,4.801205812
84446,ENSG00000160469,BRSK1,BR serine/threonine kinase 1,1.91468544,5.691303972,32.31231695,7.32E-07,0.000375341,7.110878898
160,ENSG00000196961,AP2A1,adaptor related protein complex 2 subunit alpha 1,0.879392568,7.802440135,29.12672811,7.45E-07,0.000375341,6.972169895
25957,ENSG00000132424,PNISR,PNN interacting serine and arginine rich protein,-1.754167348,6.438465685,-32.16495443,7.48E-07,0.000375341,7.071570009
728113,ENSG00000264230,ANXA8L1,annexin A8 like 1,2.050390621,5.750744136,32.11982327,7.53E-07,0.000375341,7.08014746
54585,ENSG00000163818,LZTFL1,leucine zipper transcription factor like 1,-1.608272634,4.724544267,-31.21386927,7.74E-07,0.000375374,7.058839962
340017,ENSG00000234111,LINC02433,long intergenic non-protein coding RNA 2433,-4.581454043,-2.927460046,-28.86628456,7.80E-07,0.000375374,4.611805062
2533,ENSG00000082074,FYB1,FYN binding protein 1,-3.121459443,2.779060935,-31.65824127,8.08E-07,0.000382456,6.835235487
27107,ENSG00000066422,ZBTB11,zinc finger and BTB domain containing 11,-1.351324148,5.81733219,-30.60551956,8.23E-07,0.000383207,6.95993913
351,ENSG00000142192,APP,amyloid beta precursor protein,0.80037202,9.072001376,28.28464393,8.65E-07,0.000395943,6.801894153
10276,ENSG00000173848,NET1,neuroepithelial cell transforming 1,-1.288621733,7.178065335,-30.36496913,8.97E-07,0.000404249,6.846717512
6892,ENSG00000231925,TAPBP,TAP binding protein,3.633380598,-3.413051599,27.90446198,9.26E-07,0.000410734,4.385923574
26054,ENSG00000112701,SENP6,SUMO specific peptidase 6,-1.128538147,5.98380521,-28.68859717,9.86E-07,0.000426038,6.738434933
1048,ENSG00000105388,CEACAM5,CEA cell adhesion molecule 5,-5.606459262,1.310659413,-30.31278868,9.97E-07,0.000426038,5.760986267
100507290,ENSG00000261221,ZNF865,zinc finger protein 865,1.273201178,6.794685657,29.49339615,1.04E-06,0.000426038,6.696262568
23786,ENSG00000099968,BCL2L13,BCL2 like 13,1.397393118,6.904589354,29.76366088,1.09E-06,0.000426038,6.656995538
8728,ENSG00000135074,ADAM19,ADAM metallopeptidase domain 19,-2.377443081,2.425958829,-28.60855035,1.09E-06,0.000426038,6.584034575
7748,ENSG00000005801,ZNF195,zinc finger protein 195,-1.71373658,3.499811364,-28.39697927,1.12E-06,0.000426038,6.685832416
23641,ENSG00000182195,LDOC1,LDOC1 regulator of NFKB signaling,1.738115604,6.738296987,29.57536207,1.12E-06,0.000426038,6.628854095
3098,ENSG00000156515,HK1,hexokinase 1,0.643765524,8.439715239,26.79125565,1.14E-06,0.000426038,6.501752352
84433,ENSG00000198286,CARD11,caspase recruitment domain family member 11,1.461240423,7.383539224,29.41186168,1.15E-06,0.000426038,6.586847473
55706,ENSG00000058804,NDC1,NDC1 transmembrane nucleoporin,-0.837646949,6.353990381,-26.68477703,1.16E-06,0.000426038,6.512223581
81502,ENSG00000101294,HM13,histocompatibility minor 13,1.835593618,8.266453193,29.23430653,1.19E-06,0.000426038,6.546561487
100874194,ENSG00000223392,CLDN10-AS1,CLDN10 antisense RNA 1,-3.254515,-3.589889838,-26.52394971,1.20E-06,0.000426038,4.261574198
101929191,ENSG00000253641,LINC03022,long intergenic non-protein coding RNA 3022,-3.254515,-3.589889838,-26.52394971,1.20E-06,0.000426038,4.261574198
101927787,ENSG00000228044,LOC101927787,uncharacterized LOC101927787,-1.948387693,2.594913086,-27.42434454,1.21E-06,0.000426038,6.551056204
9406,ENSG00000132485,ZRANB2,zinc finger RANBP2-type containing 2,-1.536859917,5.983224057,-29.08969651,1.22E-06,0.000426038,6.559411754
5991,ENSG00000080298,RFX3,regulatory factor X3,-1.774789084,2.904823588,-27.31553861,1.23E-06,0.000426038,6.565733065
64288,ENSG00000235109,ZSCAN31,zinc finger and SCAN domain containing 31,-2.647815084,3.47478837,-28.98502028,1.24E-06,0.000426038,6.587482421
94104,ENSG00000159086,PAXBP1,PAX3 and PAX7 binding protein 1,-1.942891919,3.604277168,-28.7144222,1.24E-06,0.000426038,6.597059968
3936,ENSG00000136167,LCP1,lymphocyte cytosolic protein 1,-1.956653309,5.03726941,-28.93126035,1.25E-06,0.000426038,6.568044577
7486,ENSG00000165392,WRN,WRN RecQ like helicase,-1.356851485,4.13839567,-27.34018086,1.26E-06,0.000426038,6.550870437
102466724,ENSG00000277681,MIR6739,microRNA 6739,-3.44459177,-3.493387632,-25.85471827,1.36E-06,0.000453619,4.251663853
